Comp,RIOTs,Evidence,Assessment,Criteria
"8.4.1.2 Understand 
the safety and quality 
management 
procedures for PET 
imaging systems","o  MSc coursework. 
o  Read and summarize references on PET safety, 
such as, Safety Reports Series No. 58, Radiation 
protection in newer medical imaging 
techniques: PET/CT, IAEA, Vienna, 2008 
o  Read and summarise references on quality 
management of PET such as AAPM Task Group 
No. 126 “PET/CT Acceptance Testing and 
Quality Assurance”, PET NEMA NU2, IAEA 
Human Health Series 1 
o  Read departmental safety and QM protocols 
o  Observe QM of PET in the diagnostic department  
o  Attend a teaching session on PET safety and 
quality management with a DIMP","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes the safety requirements for PET systems including 
regulatory requirements 
o  Describes the quality management procedures for PET 
systems as listed in a suitable published protocol such as PET 
NEMA NU2, IAEA Human Health Series 1, AAPM TG 126 
o  Discusses typical patient doses and techniques to reduce 
patient dose 
o  Discusses how patient dose is affected by the choice of PET 
imaging protocol 
o  Explains how the radiation safety principles of optimization 
and justification apply to the medical use of PET  imaging 
systems 
o  Describes the role of a DIMP in safety and quality 
management of PET systems"
"6.2.2.2 Analyze the 
uncertainty of 
reference air kerma 
rate determination","o  Review uncertainty discussions in IAEA 
TecDoc1274 
o  Review uncertainty estimates in calibration 
certificates for chambers and sources 
o  Review experimental results from department 
(reproducibility of results)  
o  Literature review  
o  Compare reference air kerma rate 
determination via well and cylindrical 
chambers",o  Written report,"o  Review and Q&A 
with Assessor","o  Realistic assessment of overall uncertainty in reference air 
kerma rate determination 
o 
Identifies methods to minimize uncertainties 
o  Explains advantages, disadvantages and uncertainties 
associated with source calibration using a well chamber and 
a cylindrical chamber 
o  Explains impact of calibration errors on overall patient dose 
delivery, and links with probability of tumour control and 
normal tissue complication and any relevant incidents that 
have occurred"
"2.4.3.1 Perform 
radiation safety and 
protection 
procedures for 
radioactive materials 
according to 
legislated 
requirements","o  Develop new procedures and/or analyse 
existing procedures for source storage and 
security and make recommendations 
o  Assess suitability of source storage security e.g. 
review protocols and signage","o  New procedure or 
report 
summarizing 
recommendations","o  Review of 
procedure/ report 
by assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  References relevant legislation for jurisdiction 
o 
Identifies all safety requirements and discusses significance 
of non-compliance 
o  Makes recommendations"
"5.4.2.1 Support the 
development of new 
treatment techniques","o  Participate in the introduction of a new 
treatment technique in a real or simulated 
scenario, such as: 
o 
IMRT or VMAT, including extending an 
existing program to a new treatment site 
o  Adaptive radiotherapy 
o  Gated radiotherapy 
o  A new or modified 3DCRT technique (e.g. 
change to patient immobilization, SSD to SAD 
technique etc.) 
o  One of the specialist techniques listed in 
5.4.1.2 
o  A new technique required for a clinical trial 
o  Participate in multidisciplinary team meetings 
introducing new techniques 
o  Acquire dosimetry data for new techniques 
o  Participate in commissioning equipment 
required for specialist techniques 
o  Participate in commissioning the TPS for the 
new technique 
o  Perform measurements to verify accuracy of 
treatment plans (in phantom and, if applicable, 
in vivo) 
o  Participate in setting up an ongoing QA protocol 
for the new technique","o  Log book notes 
o  Departmental 
experimental 
books 
o 
Internal reports 
o  Working group 
minutes","o  Practical 
demonstration to 
assessor, or 
submission of 
short report 
outlining work 
undertaken. 
o  Q&A session with 
assessor","o  Describes clinical rationale for introducing the new 
technique 
o  Describes workflow for patient planning and treatment for 
the new technique 
o  Performs research to identify issues that need to be 
investigated and formulates strategies for dealing with them 
o  Performs dosimetric measurements required to commission 
the new technique 
o  Uses TPS competently both for commissioning and patient 
planning for the new technique  
o  Performs suitable measurements to verify the accuracy of 
the new technique (in phantom and, if applicable, in-vivo) 
o  Meets general criteria for practical work"
"5.4.3.1 Provide 
scientific advice for 
the development of 
new or specialist 
treatment techniques","o  Participate in representing physics on 
multidisciplinary team introducing a new 
technique. 
o  Participate in managing the implementation of 
new technology or a new technique  
o  Train staff in new techniques 
o  Develop treatment delivery and QA procedures 
for a new technique 
o  Prepare a detailed commissioning plan for 
introduction of a new technique, using a mock 
scenario if necessary. 
o  Develop an ongoing QA program for the new 
technique. 
o  Perform a planning study to investigate the 
pros and cons of a new technique for specific 
patient groups 
o  Provide physics support for a new technique 
used in a clinical trial.","o 
Internal report 
o  Commissioning 
plan 
o  Oral presentation.","o  Written report or 
oral presentation 
to department","o  Describes new technique and the implications for clinical 
practice, workflow and resources, and makes 
recommendations 
o 
Identifies risks and sources of uncertainty, and formulates 
strategies to mitigate them 
o  Relates current or proposed departmental practices to best 
practice described in literature 
o  Meets general criteria for communication 
o  Meets general criteria for professionalism"
"2.6.3.1 Manage 
radiation incidents 
and accidents","o  Manage mock or real radiation incidents and 
accidents, e.g.: 
o  Develop emergency response procedures 
o  Theft of source, flood, earthquake or fire 
damage of radioactive source or hot 
laboratory or Nuclear Medicine laboratory 
o  Linac – RT in room, incorrect exposure 
incident 
o 
Incorrect disposal of radioactive source 
o  Road accident with radiation involved 
(patient transported to hospital) 
o  Medical emergency with I-131 or I-125  
o  Patient mistreatment (under or overdose, 
incorrect site, incorrect patient). 
o  Comforter in CT scan","o  Written 
procedure or 
report 
summarizing 
recommendations","o  Q&A session with 
assessor.   
o  Assessor review 
of written 
procedure / 
report","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o  Recommends appropriate course of action  
o 
Suggests possible means to prevent recurrence of incident 
o  Explains risk to staff, public e.g. internal letter to 
administration versus public 
o  Understands reporting requirements both internal and 
external 
o  Respects ethical considerations 
o  Prioritizes appropriately"
"4.4.2.1 Perform IGRT 
acceptance and 
commissioning tests 
and measurements","o  Read and summarise references. 
o  Read previous departmental acceptance and 
commissioning reports. 
o  Perform IGRT acceptance and commissioning 
tests and measurements or repeat for an 
existing system","o 
Summary notes. 
o  Commissioning 
report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g., AAPM TG-142, TG-179 
o 
Identifies limitations and tolerances 
o  Draws appropriate conclusions from results 
o  Explains relationship between commissioning tests and 
ongoing QA."
"4.4.2.2 Perform QA of 
an IGRT system","o  Read and summarise references. 
o  Read previous departmental QA reports. 
o  Perform regular (e.g., daily, weekly, fortnightly, 
monthly, quarterly, annual) QA on an IGRT 
system (in addition to those tests performed for 
regular linac QA).","o 
Summary notes. 
o  QA report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g. AAPM TG-142, TG-179 
o 
Identifies limitations and tolerances 
o  Draws appropriate conclusions from results 
o 
Identifies roles of multidisciplinary team in QA 
o  Explains relationship between daily, medium and longer 
term QA."
"4.4.3.1 Perform 
quality management 
and provide 
scientific advice on 
IGRT","o  Participate in managing acceptance and 
commissioning of an IGRT system 
o  Develop new commissioning program for an 
IGRT system or analyse an existing program 
and make recommendations 
o  Develop new ongoing QA program for an IGRT 
system or analyse an existing program and 
make recommendations 
o  Participate in managing an ongoing QA program 
for an IGRT system 
o  Respond to faults and perform tests to return 
an IGRT system to service after repairs 
o  Research and commission a new type of IGRT 
system, such as an augmented reality system 
o  Literature review of imaging modalities for a 
body site of interest 
o  Critically assess departmental imaging 
procedures and dose consequences and make 
recommendations 
o  Provide scientific advice and specifications for 
new equipment purchase","o  New program or 
report 
summarizing 
recommendations","o  Review of 
program or report 
by assessor","o  Meets general criteria for communication 
o  Meets general criteria for professionalism 
o   Understands potential limitations of IGRT and advises on 
clinical impact  
o 
Identifies risks and sources of uncertainty, and formulates 
strategies to mitigate them 
o  Makes recommendations for the safe and optimal clinical 
use of IGRT 
o  Provides scientific justification for recommendations 
o  Refers to literature to support conclusions"
"8.1.1.2 Understand 
concepts and some 
key measures of 
image quality","o  MSc coursework 
o  Read and summarize references on the image 
quality concepts of contrast, resolution and 
noise and their inter-relationships and 
dependence on primary signal (often dose). 
o  Read and summarize references on the 
measures of image quality through parametric 
analysis, quantitative phantom measurements 
and structured clinical image comparisons: 
o  Parametric evaluation 
o 
MTF, NPS, DQE, SNR, SDNR 
o  Quantitative phantom measurement 
o 
Noise 
o 
Uniformity 
o 
Low contrast resolution 
o 
High contrast resolution 
o 
Geometric integrity 
o 
Artifacts to be discussed along with 
each image modality 
o  Structured clinical image comparisons  
o 
Receiver Operator Characteristic (ROC)  
o 
Clinical quality indicators 
o 
Artifacts 
o 
Tumour response evaluation criteria, 
e.g. RECIST 
o  Perform measurements of the above on the 
imaging equipment in the RT department (for 
example as part of competencies 4.4, 4.5, 5.2 and 
6.4) 
o  Observe/participate in diagnostic imaging 
quality assurance checks with a DIMP and/or 
diagnostic radiographer.  Contrast these with 
the checks done on the imaging systems in the 
RT department  
o  Attend a teaching session with a DIMP","o  MSc assessment  
o  Summary notes. 
o  Reflective writing 
discussing how 
quantitative 
measures of image 
quality relate to  
clinical diagnostic 
requirements  
o  Answers to online 
resources on e-
learning website","o  RPL 
o  Review of 
evidence 
o  Q&A with assessor","o  Defines the measures of image quality through parametric 
analysis, quantitative phantom measurements and 
structured clinical image comparisons : 
o  Parametric evaluation 
o 
MTF, NPS, DQE, SNR, SDNR 
o  Quantitative phantom measurement 
o 
Noise 
o 
Uniformity 
o 
Low contrast resolution 
o 
High contrast resolution 
o 
Geometric integrity 
o  Structured clinical image comparisons  
o 
Receiver Operator Characteristic (ROC) 
o 
Clinical quality indicators 
o 
Artifacts 
o 
Tumour response evaluation criteria, e.g, RECIST 
o  Describes techniques for measuring each of the above 
parameters 
o  Explains how the above parameters relate to each other 
o  Discusses the relation between quantitative and qualitative 
measures of image quality, and how they relate to clinical 
imaging requirements."
"7.2.1.1 Understand 
the fundamental 
principles of 
management","o  Attend courses on management skills such as 
running effective meetings, conflict resolution, 
performance management, time management. 
o  Review relevant literature 
o  Tutorial","o  Evidence of 
attendance at 
courses on 
management 
skills 
o  Report 
o  Presentation","o  Review of 
evidence 
o  Q&A with 
assessor","o  Understands the fundamental principles and basic skills 
associated with management that can be applied to all TEAP 
modules."
"7.2.1.2 Demonstrate 
basic management 
skills","o  Take responsibility for organizing, scheduling, 
chairing and/or taking minutes for a 
departmental meeting such as a TEAP tutorial 
session, a journal club or a QA review meeting 
o  As above for teleconferences 
o  Take responsibility for pro-actively managing 
own TEAP progress, including mapping out 
training plan, organizing meetings with 
supervisors and trainers, monitoring and 
documenting progress. 
o  Assist with the supervision of a research 
student 
o 
Join an organizing committee for a conference, 
workshop or seminar.  
o  Define or assist in managing the budget for a 
small research or technical project 
o  Observe and review the role of the Chief 
Physicist","o  Minutes and 
agendas for 
meetings 
organized by 
registrar 
o  Logbook notes, 
reports and/or 
reflective writing 
on management 
experience 
o  Evidence of active 
role by registrar 
in managing own 
training","o  Review of 
evidence 
o  Q&A with 
assessor","o  Meets general criteria for communication (refer Clinical 
Training Guide) 
o  Meets general criteria for professionalism 
o  Monitors own progress against TEAP training plan 
o  Demonstrates basic skills associated with management such 
as 
o  Planning and setting timeframes 
o  Liaising with others 
o  Considering resource requirements where applicable 
o  Monitoring progress against the plan 
o  Working within the planned timeframe or taking 
appropriate action if this is not achievable 
o  Reporting outcomes in a suitable format  
o  Acts safely and within limits of delegated authority, seeking 
advice and support from senior staff when required to act 
outside these limits."
"8.3.1.1 Understand 
the physical 
principles and 
operation of MRI  
systems","o  MSc coursework. 
o  Read and summarise references on the physical 
principles and operation of MRI systems, e.g. 
IAEA DR Handbook, Bushberg Essential physics 
for medical imaging, 
http://www.cis.rit.edu/htbooks/mri/ and 
http://www.imaios.com/en/e-Courses/e-MRI. 
o  Attend a teaching session with a DIMP 
o  Observe maintenance and QA of MRI systems. 
o  Observe clinical use of MRI in diagnostic 
departments and contrast with its use for 
radiation therapy planning (for example using 
knowledge gained from competencies 5.2 and 
6.4).  Note how imaging parameters are 
optimized for the clinical application 
o  Review specialist and emerging MRI techniques 
such as diffusion weighted imaging, 
spectroscopy, functional MRI, open magnet","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes. 
o  Answers to online 
resources on 
eLearning website","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Explains the basic physics of MRI including NMR, image 
formation, image reconstruction in k-space, field strength 
and its effects on image quality. 
o  Describes the key parameters such as T1 and T2 
o  Describes typical configuration of MRI scanners (block 
diagram), include surface coils 
o  Explains key parameters and terms used in MRI such as 
magnetic gradients, pulse-echo, free-induction decay, pulse 
sequences 
o  Explain the function of STIR and FLAIR pulse sequences 
o  Explains how MRI scan settings affect the image quality 
parameters listed in 8.1.1.2 
o  Describes typical system-related and patient-related artifacts 
observed in MR images and their causes 
o  Describes MRI imaging strengths and weaknesses"
"8.3.1.2 Understand 
the safety and quality 
management 
procedures for MRI 
imaging systems","o  MSc coursework. 
o  Read and summarize references on MRI safety 
such as the RANZCR MRI Safety Guidelines 
(2007), ACR Guideline Document for Safe MR 
Practices (2007) 
o  Read and summarise references on quality 
management of MRI such as  AAPM Report No. 
100 Acceptance Testing and Quality Assurance 
Procedures for Magnetic Resonance Imaging 
Facilities (2010) 
o  Read departmental safety and QM protocols 
o  Observe QM of MRI in the diagnostic department  
o  Attend a teaching session on MRI safety and 
quality management with a DIMP","o  MSc assessment.  
o  Summary notes. 
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes the  safety requirements for MRI systems including 
regulatory requirements, as listed in a suitable published 
protocol, such as ACR 2004 MRI Quality Control Manual 
o  Describes the quality management procedures for MRI 
systems6 as listed in a suitable published protocol such as 
AAPM Report No. 100, MHRA, ACR MRI Quality Manual 2004, 
ACR Guidance Document on MR Safe Practices 2013, IPEM 
Report 81 Physics aspects of quality control in radiotherapy 
(section 3.3 Magnetic resonance imaging). 
o  Describes the role of a DIMP in safety and quality 
management of MRI systems"
"5.4.1.1 Understand 
the process of 
implementing a new 
treatment technique","o  Read internal reports relating to introduction of 
new techniques 
o  Review of literature relating to a new 
technique. 
o  Attend multi-disciplinary meetings  about 
introducing  new techniques  
o  Observe/assist with physics work to support 
new technique","o  Log book notes 
o  Literature review","o  Discussion with 
assessor","o  Lists key steps in introducing a new technique and explains 
their significance including: 
o 
Identifying clinical need 
o  Resource implications 
o  Equipment purchase 
o  Data acquisition 
o  Protocol development 
o  Verification of treatment accuracy 
o  Documentation 
o  Ongoing QA  
o  Training 
o  Describes  roles of ROMPs and other professional groups in 
introducing a new technique"
"5.4.1.2 Understand 
principles of 
specialist EBRT 
treatment techniques","o  MSc coursework 
o  Read and summarise references for TSET, TBI, 
SRT, Stereotactic Ablative Body Radiotherapy 
(SABR) and at least three of radiosurgery, 
electron arc therapy, intraoperative 
radiotherapy, cyberknife,  tomotherapy, 
protons or other specialist techniques 
o  Read and summarize references for motion 
management techniques such as gating, 
tracking, adaptive radiotherapy 
o  Observe treatment and planning procedures for 
specialist techniques  in a clinical department  if 
possible 
o  Read departmental protocols describing 
specialist treatment techniques 
o  Attend training days, workshops and seminars 
about specialist treatment techniques","o  MSc coursework 
o 
Short written 
report. 
o  Logbook notes","o  Recognition of 
Prior Learning 
o  Q&A session with 
assessor","o  Discusses for TSET, TBI, SRT, SABR and at least three of 
radiosurgery, electron arc therapy, intraoperative 
radiotherapy, cyberknife,  tomotherapy, protons or other 
specialist techniques: 
o  conditions for which the technique is used (e.g. bone 
marrow ablation for TBI) and the associated target 
volume (e.g., entire skin, bone marrow, small lesions in 
brain) 
o  Typical dose and fractionation schemes 
o  Typical dose distributions 
o  Broad description of equipment required 
o  Overview of imaging, planning and treatment procedures 
o  Overview of physics considerations, such as small fields, 
extended/reduced SSDs, different scatter conditions 
o  Techniques for managing patient movement 
o  Resource implications 
o  Role of ROMPs and other professional groups"
"6.1.2.1 Review 
acceptance and 
perform 
commissioning and 
QA tests on an HDR 
system","o  Read and summarise references on acceptance, 
commissioning , QA and past incidents. 
o  Read previous departmental acceptance and 
commissioning reports.   
o  Review methods, test procedures and 
worksheets. 
o  Review acceptance and perform commissioning  
and QA tests (including tests after faults or 
repair) on HDR or PDR units, including the: 
o  afterloader 
o  source 
o  applicators 
o 
transfer tubes  
o  ancillary equipment such as templates or jigs 
o 
treatment control computer 
o 
If experience is gained on a PDR unit, visit a 
department with an HDR unit to gain familiarity 
with HDR acceptance and commissioning tests.","o 
Summary notes. 
o  Acceptance and 
commissioning 
records and 
reports 
o  QA records and 
reports","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Meets general criteria for practical work 
o  Explains significance of acceptance and commissioning tests. 
o  Explains significance of QA tests and frequency.  
o  Explains relationship between acceptance and 
commissioning tests and ongoing QA. 
o 
Identifies tests that are unique to acceptance testing that are 
not performed in regular QA 
o  Performs tests and measurements listed in a suitable 
protocol, e.g. ACPSEM 1997 Table A7, AAPM TG-56, ESTRO 
Guidelines, AAPM TG 59 for: 
o  afterloader 
o  source 
o  applicators 
o 
transfer tubes  
o  ancillary equipment such as templates or jigs 
o 
treatment control computer 
o  Draws conclusions from results 
o 
Identifies limitations and tolerances 
o  Analyses uncertainties and sources of error and their 
implications 
o  Discusses  QA tests required after faults and repairs 
o  Discusses past incidents e.g. ICRP 103"
"6.1.2.2 Participate in 
emergency drills for 
an HDR system","o  Read and summarise references on past 
emergencies 
o  Participate in emergency drills 
o  Review emergency procedures","o  Training drill 
certificate 
o  Logbook notes","o  Review records 
and Q&A with 
Assessor.","o  Explains roles and responsibilities in an emergency 
o  Discusses past emergencies e.g. ICRP 103, IAEA website 
o  Participates in emergency drills for an HDR system 
o 
Identifies equipment required for emergencies"
"5.2.2.2 Analyze the 
uncertainty 
associated with the 
use of imaging 
systems for external 
beam treatment 
planning","o  Literature review or investigation of 
departmental practices to assess sources of 
uncertainty associated with: 
o 
Imaging systems 
o 
Image fusion and registration 
o  Contouring (e.g., intra- and inter-observer) 
o  Applying margins 
o  Review criteria for the use of imaging in a 
clinical trial",o  Written report,"o  Assessor review 
of report.   
o  Q & A with 
assessor.","o 
Identifies key sources of uncertainty in treatment planning 
associated with different imaging modalities, such as spatial 
resolution, partial volume effect, image artifacts, geometric 
distortions, contrast, implants and temporal averaging for 
CT, MRI, PET, CBCT and 4D imaging. 
o 
Identifies uncertainties in contouring based on different 
imaging modalities and combinations of imaging modalities, 
for example, CT alone or CT + MRI. 
o  Determines an evidence based  estimate of uncertainty 
o 
Identifies how uncertainty in part of the process affects 
overall patient dose delivery 
o 
Suggests methods to reduce uncertainty"
"5.2.3.1 Provide 
scientific advice on 
the safe and optimal 
use of imaging for 
external beam 
radiotherapy 
treatment planning","o  Develop new departmental imaging protocol for 
external beam radiotherapy treatment planning 
o  Review existing protocols and make 
recommendations 
o  Participate in commissioning a new imaging 
system for external beam radiotherapy 
treatment planning 
o  Resolve imaging issues in external beam 
radiotherapy treatment planning 
o  Participate in research projects and/or clinical 
trials related to imaging for external beam 
radiotherapy planning 
o  Provide advice for the purchase of a new 
imaging system for treatment planning, taking 
current and future requirements into 
consideration.","o  New protocol, 
protocol review 
o  Written or oral 
report.","o  Review and Q&A 
with Assessor","o   Understands potential limitations of imaging modality and 
advises on clinical impact  
o  Makes recommendations for the safe and optimal clinical 
use of imaging 
o  Refers to literature to support conclusions 
o  Meets general criteria for communication 
o  Meets general criteria for professionalism"
"1.1.1.3 Understand 
the aims and effects 
of  radiotherapy in 
the management of 
cancer","o  MSc coursework 
o  Read and summarise references, for example, 
Handbook of Evidence Based Radiation 
Oncology, http://www.eviq.org.au/ 
o  Read planning protocols 
o  Patient case studies 
o  Attend planning audit meetings 
o  Problem Based Learning scenarios – small 
group discussion 
o  Trials protocols (e.g. RTOG)","o  MSc assessment 
o 
Short report","o  RPL 
o  Q&A session with 
assessor","o  Explains the radiobiological basis for radiotherapy, for 
example, using a sketch of a typical TCP, NTCP graph 
o  Explains aims of radical and palliative radiotherapy 
treatment, including 
o  Adequate dose to target 
o  Sparing OARs 
o  Maximising therapeutic gain  
o  Required accuracy. 
o  Explains the anatomical and physiological changes to the 
cancer and healthy tissue due to radiotherapy treatment. 
o  Describes common early and late side effects of 
radiotherapy  
o  Discusses factors to be considered when choosing external 
beam, brachytherapy and combined therapies, including 
o  Radiation Type 
o  Radiobiology 
o  Timing of each 
o  Adequate dose to target whilst sparing OARs 
o  Dose localisation 
o  Patient comfort 
o  Resource requirements (including costs) 
o  radiation safety and protection"
"1.1.1.4 Understand 
the patient journey 
in radiation oncology","o  Compile a short report reflecting on attendance 
at a representative sample of patient-related 
clinical experiences, such as:  
o  New patient/review/follow up clinics 
o 
Imaging (CT, MRI, x-ray, ultrasound, nuclear 
medicine) 
o  Treatment planning and mould room 
o  Radiation treatment 
o  Operating theatre 
o  Ward rounds 
o  Nursing 
o  Dietician, social worker, physiotherapist 
and/or other allied health professionals 
o  Attendance at chemotherapy 
o  Patient case studies 
o  Read literature supplied for patients 
o  Attend patient support and education sessions 
o  Observe the impact of machine breakdown on 
staff and patients","o 
Short reflective 
report","o  Review of 
evidence","o  Describes the key components and timeframes of the patient 
journey in radiation oncology 
o  Describes the purpose, procedures and outcomes of a 
representative sample of patient-related clinical 
experiences. 
o  Explains the effects of treatment on quality of life."
"4.4.1.2 Understand 
the key design 
principles and 
operation of MV 
EPID IGRT systems","o  MSc coursework. 
o  Read and summarise references. 
o  Observe maintenance, repair and QA of MV 
EPID IGRT systems. 
o  Participate in MV EPID IGRT commissioning 
and QA 
o  Observe and assist with review of clinical 
images (use mock scenario with humanoid 
phantom if necessary)","o  MSc coursework.  
o 
Summary notes.  
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes physics of how an EPID system forms an image, 
including panel construction and composition, conversion of 
photon beam into an electronic signal, image resolution 
o  Mechanics of how the EPID is mounted to the linac and its 
relationship to the mechanical and radiation isocentre 
o  Describes the EPID system imaging methods, such as, 
before, during or after treatment, treatment field or 
reference field, number of frames, number of monitor units .  
Discusses trade-off between dose and image quality. 
o  Describes how the images are used in IGRT, including 
matching and alignment functions with DRRs  
o  Describes how the IGRT system interfaces with the linac and 
information systems 
o 
Identifies tests required to commission EPID IGRT and 
explains their significance, e.g.: 
o  Safety systems – radiation, electrical, mechanical 
o  Patient dose reference levels 
o  Mechanical alignment 
o 
Image quality  
o  Software"
"4.4.1.3 Understand 
the key design 
principles and 
operation of linac kV 
IGRT systems","o  MSc coursework. 
o  Read and summarise references. 
o  Observe maintenance, repair and QA of kV EPID 
IGRT systems. 
o  Participate in kV EPID IGRT commissioning and 
QA","o  MSc coursework.  
o 
Summary notes.  
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes physics of how a kV IGRT system forms an image, 
including panel construction and composition, conversion of 
photon beam into an electronic signal, image resolution 
o  Mechanics of how the kV imager is mounted to the linac and 
its relationship to the mechanical and radiation isocentre 
o  Describes the kV system imaging methods, such as, before or 
during treatment, number of frames, choice of kV and mAs.  .  
Discusses trade-off between image quality and patient dose. 
o  Describes how the images are used in IGRT, including 
matching and alignment functions with DRRs and 3D 
volumes 
o  Describes how the IGRT system interfaces with the linac and 
information systems 
o 
Identifies tests required to commission a kV IGRT system 
and explains their significance, e.g.: 
o  Safety systems – radiation, electrical, mechanical 
o  Patient dose reference levels 
o  Mechanical alignment 
o 
Image quality  
o  Software"
"5.1.1.4 Understand 
the basic principles 
of external beam 
photon treatment 
planning and MU 
calculation 
algorithms.","o  MSc Coursework 
o  Attend tutorials 
o  Read and summarise textbooks, literature and 
TPS user manuals (such as AARM Reports TG65 
and TG114, ICRU Report No 24, ESTRO Booklet 
10) covering the following algorithm classes: 
o  Manual dose calculation  
o  Measurement-based algorithms such as 
Milan-Bentley  
o  Pencil beam 
o  Convolution/superposition 
o  Monte Carlo 
o 
Inverse planning 
o  MU calculation","o  MSc assessment 
o 
Summary notes.","o  RPL 
o  Review notes and 
Q&A with 
Assessor.","o  Defines key terms used in photon dose calculation such as 
fluence, point spread kernel, TERMA, KERMA and absorbed 
dose. (ICRU85) 
o  Describes key principles of each class of algorithm – how is 
dose/MU calculated? 
o  Describes differences between measurement-based and 
model-based algorithms and describes typical applications 
of each.  
o 
Identifies input data typically required by algorithms (such 
as depth doses, profiles, spectra, scatter factors, source size 
parameters) 
o  Describes methods by which algorithms take into account 
tissue inhomogeneity, patient contour, field shape, 
treatment accessories and dynamic treatments 
o  Describes typical limitations of each class of algorithm 
o  Discusses the basics of inverse planning algorithms (both 
optimisation and leaf sequencing processes, differences 
between beamlet and direct aperture approaches)"
"5.1.1.5 Understand 
the basic principles 
of external beam 
electron treatment 
planning and 
monitor unit 
calculation 
algorithms","o  MSc Coursework 
o  Read and summarise textbooks, literature and 
TPS user manuals (such as AARM Reports TG65 
and TG114, ICRU Report No 24, ESTRO Booklet 
10) covering the following algorithm classes:  
o  Manual dose calculation  
o  Pencil beam 
o  Monte Carlo 
o  MU calculation","o  MSc assessment 
o 
Summary notes","o  RPL 
o  Q&A with 
assessor","o  Describes key principles of each class of algorithm – how is 
dose calculated? 
o  Describes differences between measurement-based and 
model-based algorithms and describes typical applications 
of each. 
o 
Identifies input data typically required by algorithms (such 
as depth doses, profiles, output factors, virtual source 
distance etc.) 
o  Describes methods by which algorithms take into account 
tissue inhomogeneity, patient contour, field shape, 
treatment accessories  
o  Describes typical limitations of each class of algorithm"
"5.1.2.1 Perform 
commissioning 
measurements for 
the planning data 
book","o  Collate data for a section of the planning data 
book in a mock scenario if necessary 
o  Validate existing data in planning book via 
measurement 
o  Perform uncertainty analysis on planning data","o  Report on 
commissioning 
tests 
o  Page(s) of data for 
the data book","o  Q&A with 
assessor 
o  Observation by 
assessor","o  Describes and performs appropriate data manipulations 
(such as smoothing, averaging, rounding, normalising) 
o  Presents data in a suitable format for treatment planning 
o  Demonstrates appropriate document control and quality 
management procedures for the planning data 
o  Explains the relationship between planning data format and 
departmental MU formalism 
o  Explains links with other departmental reference data 
o   Quantifies uncertainty in data and explains clinical 
consequences"
"4.1.2.1 Perform 
acceptance tests for a 
linear accelerator","o  Read and summarise references. 
o  Read previous departmental acceptance 
reports. 
o  Perform acceptance tests on a new or upgraded 
linac or repeat acceptance procedure for an 
existing system","o 
Summary notes. 
o  Acceptance report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Explains goals of acceptance testing and general order of the 
tests. 
o 
Identifies relevant legislative requirements  
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g. manufacturer’s protocol, AAPM TG-142, Van 
Dyk §11.7. 
o 
Identifies limitations and tolerances 
o  Draws appropriate conclusions from results 
o  Explains relationship between acceptance tests and ongoing 
QA."
"4.1.2.2 Perform 
commissioning tests 
for a linear 
accelerator","o  Read and summarise references. 
o  Review department’s clinical requirements, 
commissioning procedures and reports. 
o  Perform commissioning tests on a new or 
upgraded linac or repeat  commissioning tests 
for an existing system","o 
Summary notes. 
o  Commissioning 
report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Describes the relevance of each major step in the 
commissioning procedure including: 
o  Selection of equipment 
o  Radiation safety and surveys 
o  Data for treatment planning 
o  Reference calibrations 
o  Plan delivery tests 
o 
Independent checks 
o  Setup of QA baselines 
o  Staff training 
o  Documentation 
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g., AAPM TG-106, Van Dyk §11.8, departmental 
protocol 
o 
Identifies limitations and tolerances 
o  Draws appropriate conclusions from results 
o  Describe differences between full commissioning and 
commissioning a beam-matched linac"
